Items,Description,Real Price,% Discount,Discounted Price,Images
VIBRANT LEATHER SANDALWOOD ELIXIR 60 ML,"ZARA VIBRANT LEATHER & SANDALWOOD ELIXIR PARFUM 60 ML (2.03 FL. OZ).

A masculine fragrance taken to the extreme, where rich and brash sandalwood is elevated with a refined note of spicy cardamom and a powdery touch of carrot to highlight a deep woody base.",$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/eddb/5fd2/5c33409eb95a/73a0328cca18/20210716999-e1/20210716999-e1.jpg?ts=1710929344123&w=477', 'https://static.zara.net/assets/public/8590/274b/6ada4ccd86dd/181bf3ed00c5/20210716999-e2/20210716999-e2.jpg?ts=1710929344305&w=477', 'https://static.zara.net/assets/public/884d/1765/efe74350928e/049549bacc84/20220240999-e1/20220240999-e1.jpg?ts=1719326409610&w=151', 'https://static.zara.net/assets/public/9d9e/6901/bc1f4df7b533/8e140320447b/20210715999-e1/20210715999-e1.jpg?ts=1710929342106&w=151', 'https://static.zara.net/assets/public/7e76/9f99/698b4657aed9/b2ddfc809fb2/20220273999-e1/20220273999-e1.jpg?ts=1710490687076&w=151', 'https://static.zara.net/assets/public/a671/793f/5b8345fc9bcd/594f72fbc9b9/20210002999-e1/20210002999-e1.jpg?ts=1710490648537&w=151', 'https://static.zara.net/assets/public/bae7/42bd/0b1940de9d03/1a9da9985d9b/20210651999-e1/20210651999-e1.jpg?ts=1710490652921&w=151', 'https://static.zara.net/assets/public/ed57/6d45/fc654173a0bd/81e0156caa28/20210779999-e1/20210779999-e1.jpg?ts=1714731016073&w=151']"
WASHED BAGGY JEANS,"Baggy jeans made of denim that has undergone a special finish that makes each piece unique. For this reason, the color may differ slightly from that seen in the photo.

Five pockets. Ripped washed effect. Front zip and button closure.",$ 69.90,-34%,$ 45.99,"['https://static.zara.net/assets/public/1c6b/a03a/5ba7435c90ac/7c230fb1c980/05585401427-p/05585401427-p.jpg?ts=1708510207594&w=477', 'https://static.zara.net/assets/public/79e8/1351/8e244aaaad4c/206a7316a4b7/05585401427-a1/05585401427-a1.jpg?ts=1708510225846&w=477', 'https://static.zara.net/assets/public/d06a/efb2/923c4a65a00c/4f99737bcf7c/04231402250-200-e1/04231402250-200-e1.jpg?ts=1701184041853&w=151', 'https://static.zara.net/assets/public/d3ce/0015/25cd4ed59cef/0f77b0980c08/12122320800-200-e1/12122320800-200-e1.jpg?ts=1707485346079&w=151', 'https://static.zara.net/assets/public/2139/cc12/a3a34f9988f4/d52369a483af/20210722999-e1/20210722999-e1.jpg?ts=1709283256970&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/4526/1487/bdd240d8a551/0b34024edc68/09123401500-e1/09123401500-e1.jpg?ts=1707295827881&w=151', 'https://static.zara.net/assets/public/aa27/94f0/23834dfb8f21/3d459cd910a3/08062303436-e1/08062303436-e1.jpg?ts=1717142869999&w=151']"
NUMBERS PRINT T-SHIRT,"Full cut cotton T-shirt. Round neck and short sleeves. Front contrast prints.

Zara Athleticz.",$ 25.90,-38%,$ 15.99,"['https://static.zara.net/assets/public/f914/77db/4b494d5b8bce/fdfe3c68e088/00761475800-p/00761475800-p.jpg?ts=1716545997478&w=477', 'https://static.zara.net/assets/public/f598/08d8/1aca47439259/012a3768463b/00761475800-a1/00761475800-a1.jpg?ts=1716545997147&w=477', 'https://static.zara.net/assets/public/bd09/16ce/8b534d49879f/1425583a89d4/4000.jpg?ts=1690803364024&w=151', 'https://static.zara.net/assets/public/4ccf/d035/56d34eb6acec/f0a87ac67623/00765408711-e1/00765408711-e1.jpg?ts=1716303856326&w=151', 'https://static.zara.net/assets/public/f73e/354e/57694b6d95dc/46dfa3a6b9ea/12331320800-e1/12331320800-e1.jpg?ts=1713517733775&w=151', 'https://static.zara.net/assets/public/975d/d0e8/740f4ee7b12a/2549c58c16b5/0210479999_2_9_1/0210479999_2_9_1.jpg?ts=1709224751543&w=151', 'https://static.zara.net/assets/public/7c1a/55a7/b4004d6eaec0/eb5e5d50b1b7/00761475250-e1/00761475250-e1.jpg?ts=1716460061809&w=151', 'https://static.zara.net/assets/public/7e61/67fe/30e548e8a632/e13351f75218/02888431250-e1/02888431250-e1.jpg?ts=1712651024009&w=151']"
BASIC SNEAKERS,Sneakers. Upper with grainy texture and topstitching detail. Lacing with six pairs of eyelets. Retro style.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/217a/465c/1c9049e3853a/2c1cb6179a69/12217320001-a1/12217320001-a1.jpg?ts=1714037791856&w=477', 'https://static.zara.net/assets/public/4bd4/713a/23f74ce09585/68f110657a1c/12217320001-a2/12217320001-a2.jpg?ts=1714036840998&w=477', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/55a9/b5ca/6a9c4f04a210/0d2f0094f55a/12235220001-e1/12235220001-e1.jpg?ts=1698665054093&w=151', 'https://static.zara.net/assets/public/fd34/ee73/4969443ca1c9/cadd3908466a/12204320001-e1/12204320001-e1.jpg?ts=1709107112435&w=151', 'https://static.zara.net/assets/public/c73b/4c13/4471480e8f38/5369cd36f377/12212320001-e1/12212320001-e1.jpg?ts=1712846654206&w=151', 'https://static.zara.net/assets/public/204f/0195/7b94417f8e80/8c620cf17b06/12121320202-e1/12121320202-e1.jpg?ts=1707223432146&w=151', 'https://static.zara.net/assets/public/01ff/3988/aa8d43d0949b/c8e070ba76be/12306220001-e1/12306220001-e1.jpg?ts=1701951019216&w=151']"
TEXTURED JOGGER WAIST PANTS,Regular fit pants. Adjustable elastic waistband with inner drawstring and front pleats. Front pockets and back welt pockets. Cuffed. Front zip and button closure.,$ 59.90,-33%,$ 39.99,"['https://static.zara.net/assets/public/c50f/39f9/ce9640ba93e0/8654c092cf12/01659740401-p/01659740401-p.jpg?ts=1707295528287&w=477', 'https://static.zara.net/assets/public/2a62/35e0/3b4a48c28e7f/c90c9ad6836a/01659740401-a1/01659740401-a1.jpg?ts=1707295541162&w=477', 'https://static.zara.net/assets/public/18bf/6e41/47f24de5a64d/df6d3bcbe8d7/03443400803-e1/03443400803-e1.jpg?ts=1704988823251&w=151', 'https://static.zara.net/assets/public/57eb/8c11/99114398935b/a70ff7ffbac8/04087450251-e1/04087450251-e1.jpg?ts=1706531593860&w=151', 'https://static.zara.net/assets/public/bf3d/c8d0/478f4affa7e6/292a69aec5c5/09065403710-e1/09065403710-e1.jpg?ts=1701261111714&w=151', 'https://static.zara.net/assets/public/c156/a8c2/4c6149b1aead/4d646071fe36/20210624999-e1/20210624999-e1.jpg?ts=1710490697112&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/2054/e389/9b4f49a192dd/9c21cb0e29bd/01659740800-e1/01659740800-e1.jpg?ts=1707295516755&w=151']"
FAUX LEATHER PANTS,Regular fit pants. Front pleat detail at waist. Front pockets and back welt pockets. Front zip and button closure.,$ 69.90,-34%,$ 45.99,"['https://static.zara.net/assets/public/f5d6/0434/0441483caf2a/afb492d77c30/08281651800-a4/08281651800-a4.jpg?ts=1706111354434&w=477', 'https://static.zara.net/assets/public/6709/a40f/89954d45826d/c72e523886cf/08281651800-p/08281651800-p.jpg?ts=1706111334145&w=477', 'https://static.zara.net/assets/public/3b74/8933/3692402494ec/08851261fcc4/04268388800-e1/04268388800-e1.jpg?ts=1705999685536&w=151', 'https://static.zara.net/assets/public/c846/bc45/021d4bdab0ee/f7518e6ceea7/12010320800-e1/4000.jpg?ts=1698052766318&w=151', 'https://static.zara.net/assets/public/bb6a/a5d6/39cd4b2d81fe/bbe3df1a9855/20210721999-e1/20210721999-e1.jpg?ts=1709283254221&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/8c52/316d/c9104942bfb5/51acd4a2af7e/08281665800-e1/08281665800-e1.jpg?ts=1707295818103&w=151', 'https://static.zara.net/assets/public/6a67/0f09/d59f459c9380/bfa1ec9dd680/08281345800-e1/08281345800-e1.jpg?ts=1704970344195&w=151']"
MODAL BLEND SHIRT,Relaxed fit shirt made of modal blend fabric. Italian collar and long sleeves with buttoned cuffs. Front button closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/a85d/a550/11244f53a6d8/69cae3fbe65d/04147167251-p/04147167251-p.jpg?ts=1704813090094&w=477', 'https://static.zara.net/assets/public/0098/5224/c29b4857a3f3/b8de7334e796/04147167251-a1/04147167251-a1.jpg?ts=1704813090482&w=477', 'https://static.zara.net/assets/public/b114/b7e9/ad1d42d294aa/c59e4342d1a0/00679402800-e1/00679402800-e1.jpg?ts=1704357340182&w=151', 'https://static.zara.net/assets/public/06b0/410e/af5248e38772/a0f64b1a9944/04127175800-e1/04127175800-e1.jpg?ts=1704788324541&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/a987/78d8/200b466abb02/8eb8cc2323c7/04147167800-e1/04147167800-e1.jpg?ts=1704701413297&w=151', 'https://static.zara.net/assets/public/43b7/57a6/057f4326b696/e378cd9a5663/04147167502-e1/04147167502-e1.jpg?ts=1704725672608&w=151']"
CROPPED TEXTURED JACKET,Cropped jacket. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at hip. Front button closure.,$ 109.00,-44%,$ 59.99,"['https://static.zara.net/assets/public/a511/ee94/c4d8480bae37/c3c84f0f1e51/02675403064-p/02675403064-p.jpg?ts=1708679684527&w=477', 'https://static.zara.net/assets/public/22f8/1395/b2154809807c/20668db8d190/02675403064-a1/02675403064-a1.jpg?ts=1708679699375&w=477', 'https://static.zara.net/photos///2024/V/0/2/p/0774/430/431/2/w/151/0774430431_6_1_1.jpg?ts=1706108364825', 'https://static.zara.net/assets/public/d993/eca4/bc3b435cb01a/882bd07f3910/12604320700-e1/12604320700-e1.jpg?ts=1705661342377&w=151', 'https://static.zara.net/assets/public/975d/d0e8/740f4ee7b12a/2549c58c16b5/0210479999_2_9_1/0210479999_2_9_1.jpg?ts=1709224751543&w=151', 'https://static.zara.net/assets/public/60d4/116d/b3bb4743a8f9/c6d174f24798/04087423798-e1/04087423798-e1.jpg?ts=1706808664849&w=151', 'https://static.zara.net/assets/public/ceb7/6745/fed04f5aae45/71ef1fd831a3/04331402320-e1/04331402320-e1.jpg?ts=1708330665717&w=151', 'https://static.zara.net/assets/public/17ed/4822/ba24435295e1/4bdbe859095c/04054659064-e1/04054659064-e1.jpg?ts=1703244937386&w=151']"
STRIPED VISCOSE SHIRT,Relaxed fit shirt made of viscose. Lapel collar and short sleeves. Front button closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/d7af/95d0/9f844f17bee4/7316ca5dce89/01063411800-p/01063411800-p.jpg?ts=1705480933986&w=477', 'https://static.zara.net/assets/public/bd83/8e84/00a6462285a1/b31e7c5fbcb1/01063411800-a1/01063411800-a1.jpg?ts=1705480928281&w=477', 'https://static.zara.net/assets/public/22c0/1aa4/82f040d8bcbc/071b684c1b77/00693401800-e1/00693401800-e1.jpg?ts=1704457735386&w=151', 'https://static.zara.net/assets/public/6edd/4e23/12c248c18e13/bd3d0db31e21/05805444507-e1/05805444507-e1.jpg?ts=1700757461621&w=151', 'https://static.zara.net/assets/public/a0ea/4595/8d764ee587ef/0d3a0db36d84/20210016999-e1/20210016999-e1.jpg?ts=1710490652312&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/a60d/9a8b/dcb44d95be5d/e8534b22b3a2/03277401084-e1/03277401084-e1.jpg?ts=1715783426844&w=151', 'https://static.zara.net/assets/public/a9bc/320b/f3ef449db966/924bd98b994a/00399204064-e1/00399204064-e1.jpg?ts=1711984927422&w=151']"
LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/53bb/6cad/018f4eba8b84/39fc58828af9/08281389800-p/08281389800-p.jpg?ts=1704898454496&w=477', 'https://static.zara.net/assets/public/3f86/5abd/a6504250a073/a31f6e819851/08281389800-a1/08281389800-a1.jpg?ts=1704898455565&w=477', 'https://static.zara.net/assets/public/64f0/ef78/85fb4d8180c8/199e5d4ce009/04147167251-e1/04147167251-e1.jpg?ts=1704701409093&w=151', 'https://static.zara.net/assets/public/061f/3ae0/37aa4025826a/a2ea617368e5/01942401800-e1/01942401800-e1.jpg?ts=1701430706573&w=151', 'https://static.zara.net/assets/public/884d/1765/efe74350928e/049549bacc84/20220240999-e1/20220240999-e1.jpg?ts=1719326409610&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/29ec/05f9/290c499fac46/6b6f95f237a6/08281389811-e1/08281389811-e1.jpg?ts=1704701467483&w=151', 'https://static.zara.net/assets/public/630a/2289/6fd146a59ca3/7e11e67647ae/08281389506-e1/08281389506-e1.jpg?ts=1704701464639&w=151']"
EASY CARE TEXTURED SHIRT,"Easy care structured fabric shirt with easy day to day maintenance.

Slim fit shirt with Italian collar and long sleeves with buttoned cuffs. Front button closure.",$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/7ffd/706f/3d1a4ab79f5e/275553121a5d/07545517250-p/07545517250-p.jpg?ts=1709194035274&w=477', 'https://static.zara.net/assets/public/cd58/aba4/70524c159316/ddd0e48578ca/07545517250-a1/07545517250-a1.jpg?ts=1709195192774&w=477', 'https://static.zara.net/assets/public/2139/cc12/a3a34f9988f4/d52369a483af/20210722999-e1/20210722999-e1.jpg?ts=1709283256970&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/047b/c2d6/fae2418cb07c/4878748930ac/07545517800-e1/07545517800-e1.jpg?ts=1709196993835&w=151', 'https://static.zara.net/assets/public/ac0b/3287/397243a0bf91/1310d04f9db1/05679723403-e1/05679723403-e1.jpg?ts=1709193890258&w=151', 'https://static.zara.net/assets/public/3edc/671c/9bf3468e9b79/ba7dfb5f4971/03090401250-e1/03090401250-e1.jpg?ts=1700757405087&w=151', 'https://static.zara.net/assets/public/9acc/6d59/15914a939316/4a0baacdd658/03090402250-e1/03090402250-e1.jpg?ts=1707295705259&w=151']"
BRIKO® T-SHIRT,"Full cut T-shirt with round neck and short sleeves. Front and back Briko® logo print.

Zara Athleticz.",$ 29.90,-33%,$ 19.99,"['https://static.zara.net/assets/public/ff9e/3472/560a49e4900a/30e1b0a39a39/02888428800-p/02888428800-p.jpg?ts=1712749154794&w=477', 'https://static.zara.net/assets/public/ad81/0262/ad3241cdb55a/6bc6b5db6888/02888428800-a1/02888428800-a1.jpg?ts=1712748466341&w=477', 'https://static.zara.net/assets/public/73fa/06f7/7b1c444ba581/860b6fdfc40b/12382220800-e1/12382220800-e1.jpg?ts=1712842747149&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/4a24/0309/92fc444a890d/86ff25e6a24b/02888428707-e1/02888428707-e1.jpg?ts=1712651025010&w=151', 'https://static.zara.net/assets/public/7e61/67fe/30e548e8a632/e13351f75218/02888431250-e1/02888431250-e1.jpg?ts=1712651024009&w=151', 'https://static.zara.net/assets/public/7c1a/55a7/b4004d6eaec0/eb5e5d50b1b7/00761475250-e1/00761475250-e1.jpg?ts=1716460061809&w=151', 'https://static.zara.net/assets/public/7872/744b/f11c4befa5e1/eefda8cbb2e5/02888427250-e1/02888427250-e1.jpg?ts=1710407682521&w=151']"
TEXTURED SWEATSHIRT,Full cut short sleeve sweatshirt with round neck. Side vents at hem.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/14ef/003d/ae8c40ddae06/292dc0542abc/05039400687-p/05039400687-p.jpg?ts=1702628750896&w=477', 'https://static.zara.net/assets/public/e710/d5c8/a0404d9dbe7d/f59a1da66bed/05039400687-a1/05039400687-a1.jpg?ts=1702628753642&w=477', 'https://static.zara.net/assets/public/10bf/fdbd/220a4e3cb375/00a1c4e043ef/06399405832-e1/06399405832-e1.jpg?ts=1699958560776&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/f2ca/8e21/992441118c39/da153534605f/05039400819-e1/05039400819-e1.jpg?ts=1702563404784&w=151', 'https://static.zara.net/assets/public/48ad/2659/f6ae4a7f9df8/cc962f270320/00761476251-e1/00761476251-e1.jpg?ts=1716469960605&w=151', 'https://static.zara.net/assets/public/2a8d/8cf7/024648ad8bcd/42a63bb37705/00761417700-e1/00761417700-e1.jpg?ts=1703000584376&w=151']"
SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,,,$ 159.00,"['https://static.zara.net/assets/public/7745/e930/79314a7cae85/06b0279e622b/04307443052-p/04307443052-p.jpg?ts=1707218525374&w=477', 'https://static.zara.net/assets/public/de71/b3e9/cdd74cd9a97b/e7fed6c00bfa/04307443052-a1/04307443052-a1.jpg?ts=1707218523809&w=477', 'https://static.zara.net/assets/public/471e/5c6b/986f4b7ba66b/ca2bcb3be22d/04231426733-e1/04231426733-e1.jpg?ts=1705321547155&w=151', 'https://static.zara.net/assets/public/c350/b68d/d5974ebcaa77/f8b0b595c7d2/04308443052-e1/04308443052-e1.jpg?ts=1704970534130&w=151', 'https://static.zara.net/assets/public/a12a/771d/c59949da84c4/ddd251c77490/12406320800-e1/12406320800-e1.jpg?ts=1699616813628&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/c350/b68d/d5974ebcaa77/f8b0b595c7d2/04308443052-e1/04308443052-e1.jpg?ts=1704970534130&w=151', 'https://static.zara.net/assets/public/9058/e9a2/47804249b652/da86d956e224/04307408700-e1/04307408700-e1.jpg?ts=1709831440642&w=151']"
HOUNDSTOOTH SUIT JACKET,Straight fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,$ 139.00,-42%,$ 79.99,"['https://static.zara.net/assets/public/cdcd/5ef5/42c44b48a818/7fbefaf0bae7/04285498401-p/04285498401-p.jpg?ts=1707218384904&w=477', 'https://static.zara.net/assets/public/66a6/42ce/f1ab44b991dc/6ceb66c05920/04285498401-a1/04285498401-a1.jpg?ts=1707218384798&w=477', 'https://static.zara.net/assets/public/3ac0/4d75/f95c4108bb38/f798955ea757/00077401401-e1/00077401401-e1.jpg?ts=1709130544661&w=151', 'https://static.zara.net/assets/public/bdf9/2c74/f202442a95bc/7a9b08f09cbe/04286498401-e1/04286498401-e1.jpg?ts=1706862737057&w=151', 'https://static.zara.net/assets/public/b5b3/76c0/eae04cb1a355/47d416c59fea/12407320800-200-e1/12407320800-200-e1.jpg?ts=1714032761108&w=151', 'https://static.zara.net/assets/public/a899/8c60/9b90450ab809/def0936ef612/13302320800-e1/13302320800-e1.jpg?ts=1699966699401&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/b53a/d3d7/11384196be1e/fbc911aade3e/04285498801-e1/04285498801-e1.jpg?ts=1706805367488&w=151']"
TEXTURED POLO,Polo with front vent. Short sleeves. Rib trim.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/cdde/a600/37354e6f8b75/a0e8d8c1bab3/00526404712-p/00526404712-p.jpg?ts=1700069635696&w=477', 'https://static.zara.net/assets/public/1006/ca34/5308492eba68/65b9bb833be1/00526404712-a1/00526404712-a1.jpg?ts=1700044898016&w=477', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/7f3e/d364/d2a7420b8b10/a4b8b7404895/00526404507-e1/00526404507-e1.jpg?ts=1699950946123&w=151', 'https://static.zara.net/assets/public/d174/fd48/bcc544bcb5ba/49c9f0320d8b/00526404485-e1/00526404485-e1.jpg?ts=1699950942719&w=151', 'https://static.zara.net/assets/public/fab5/759b/18b24e0da055/c35695029a6b/08574402403-e1/08574402403-e1.jpg?ts=1709650192621&w=151', 'https://static.zara.net/assets/public/3878/dd4d/690649629e00/5d1b3d2abdd5/01716410401-e1/01716410401-e1.jpg?ts=1709567826595&w=151']"
